symbol,price
ETHBTC,0.06773
LTCBTC,0.003012
BNBBTC,0.009129
NEOBTC,0.0002977
QTUMETH,0.001199
EOSETH,0.0003891
SNTETH,1.151e-05
BNTETH,0.0002044
BCCBTC,0.079081
GASBTC,8.84e-05
BNBETH,0.1347
BTCUSDT,25890.57
ETHUSDT,1753.69
HSRBTC,0.000414
OAXETH,0.0001778
DNTETH,2.801e-05
MCOETH,0.005772
ICNETH,0.001663
MCOBTC,0.0002114
WTCBTC,5.45e-06
WTCETH,0.000237
LRCBTC,8.15e-06
LRCETH,0.00012086
QTUMBTC,8.11e-05
YOYOBTC,8e-08
OMGBTC,3.08e-05
OMGETH,0.000791
ZRXBTC,6.75e-06
ZRXETH,9.96e-05
STRATBTC,3.085e-05
STRATETH,0.001053
SNGLSBTC,1.3e-07
SNGLSETH,5.306e-05
BQXBTC,8.703e-05
BQXETH,0.0012635
KNCBTC,1.868e-05
KNCETH,0.0003941
FUNBTC,2.9e-07
FUNETH,2.2e-06
SNMBTC,1.127e-05
SNMETH,4.986e-05
NEOETH,0.004398
IOTABTC,6.03e-06
IOTAETH,8.9e-05
LINKBTC,0.0002
LINKETH,0.002952
XVGBTC,1.5e-07
XVGETH,8.7e-07
SALTBTC,4.25e-05
SALTETH,0.001138
MDABTC,3.82e-06
MDAETH,0.0018115
MTLBTC,4.154e-05
MTLETH,0.0006133
SUBBTC,4.57e-06
SUBETH,0.00012334
EOSBTC,2.635e-05
SNTBTC,7.9e-07
ETCETH,0.00862
ETCBTC,0.000583
MTHBTC,2.3e-07
MTHETH,4.135e-05
ENGBTC,6.2e-05
ENGETH,0.0018648
DNTBTC,1.86e-06
ZECBTC,0.000944
ZECETH,0.01397
BNTBTC,1.383e-05
ASTBTC,4.01e-06
ASTETH,6.96e-05
DASHBTC,0.001135
DASHETH,0.01673
OAXBTC,6.39e-06
ICNBTC,5.742e-05
BTGBTC,0.000913
BTGETH,0.052745
EVXBTC,2.74e-06
EVXETH,0.0006249
REQBTC,2.75e-06
REQETH,4.995e-05
VIBBTC,1.72e-06
VIBETH,3.45e-05
HSRETH,0.012474
TRXBTC,2.68e-06
TRXETH,3.959e-05
POWRBTC,4.93e-06
POWRETH,7.29e-05
ARKBTC,1.679e-05
ARKETH,0.001046
YOYOETH,5.828e-05
XRPBTC,1.986e-05
XRPETH,0.0002933
MODBTC,4.28e-05
MODETH,0.001167
ENJBTC,9.68e-06
ENJETH,0.0001429
STORJBTC,9.1e-06
STORJETH,0.0002991
BNBUSDT,236.4
VENBNB,0.1492
YOYOBNB,0.000598
POWRBNB,0.00385
VENBTC,0.00013928
VENETH,0.00325194
KMDBTC,1.023e-05
KMDETH,0.0002097
NULSBNB,0.01257
RCNBTC,7.4e-07
RCNETH,0.00037604
RCNBNB,0.003473
NULSBTC,7.42e-06
NULSETH,0.00051926
RDNBTC,4.47e-06
RDNETH,0.0007153
RDNBNB,0.00623
XMRBTC,0.005268
XMRETH,0.07776
DLTBNB,0.0024
WTCBNB,0.001805
DLTBTC,7.1e-07
DLTETH,0.00016807
AMBBTC,2.9e-07
AMBETH,4.1e-05
AMBBNB,0.000685
BCCETH,2.47246
BCCUSDT,448.7
BCCBNB,54.29
BATBTC,6.56e-06
BATETH,9.67e-05
BATBNB,0.001831
BCPTBTC,4.8e-07
BCPTETH,8.181e-05
BCPTBNB,0.001162
ARNBTC,7.61e-06
ARNETH,0.00029362
GVTBTC,1.792e-05
GVTETH,0.003846
CDTBTC,3.17e-06
CDTETH,5.119e-05
GXSBTC,4.581e-05
GXSETH,0.0006246
NEOUSDT,7.71
NEOBNB,0.03261
POEBTC,5e-08
POEETH,6.64e-06
QSPBTC,7.6e-07
QSPETH,2.249e-05
QSPBNB,0.0005235
BTSBTC,4.3e-07
BTSETH,9.498e-05
BTSBNB,0.001448
XZCBTC,0.0001355
XZCETH,0.0031
XZCBNB,0.2675
LSKBTC,2.69e-05
LSKETH,0.000396
LSKBNB,0.06494
TNTBTC,2.61e-06
TNTETH,9.2e-06
FUELBTC,2.6e-07
FUELETH,2.221e-05
MANABTC,1.316e-05
MANAETH,0.0001944
BCDBTC,1.351e-05
BCDETH,0.00251
DGDBTC,0.003931
DGDETH,0.1926
IOTABNB,0.000659
ADXBTC,5.15e-06
ADXETH,7.6e-05
ADXBNB,0.004929
ADABTC,1.034e-05
ADAETH,0.0001527
PPTBTC,1.855e-05
PPTETH,0.00141
CMTBTC,2.8e-07
CMTETH,6.25e-06
CMTBNB,0.000577
XLMBTC,3.2e-06
XLMETH,4.72e-05
XLMBNB,0.0003498
CNDBTC,6e-08
CNDETH,2.599e-05
CNDBNB,0.0003399
LENDBTC,4.512e-05
LENDETH,0.00137174
WABIBTC,3e-07
WABIETH,0.00040308
WABIBNB,0.0002413
LTCETH,0.04448
LTCUSDT,77.97
LTCBNB,0.3301
TNBBTC,7e-08
TNBETH,7.52e-06
WAVESBTC,5.25e-05
WAVESETH,0.000775
WAVESBNB,0.00513
GTOBTC,7.7e-07
GTOETH,3.197e-05
GTOBNB,0.000352
ICXBTC,7.08e-06
ICXETH,0.0001179
ICXBNB,0.004654
OSTBTC,3.2e-07
OSTETH,2.25e-06
OSTBNB,0.000525
ELFBTC,1.035e-05
ELFETH,0.0001529
AIONBTC,1.39e-06
AIONETH,2.645e-05
AIONBNB,0.002613
NEBLBTC,1.2e-05
NEBLBNB,0.01356
BRDBTC,1.27e-06
BRDETH,1.688e-05
BRDBNB,0.00247
MCOBNB,0.26837
EDOBTC,5.609e-05
EDOETH,0.002266
WINGSBTC,1.193e-05
WINGSETH,0.0003346
NAVBTC,2.77e-06
NAVETH,0.0001187
NAVBNB,0.004237
LUNBTC,8.51e-05
LUNETH,0.004891
TRIGBTC,1.98e-05
TRIGETH,0.000594
TRIGBNB,0.01218
APPCBTC,5.5e-07
APPCETH,0.000146
APPCBNB,0.001891
VIBEBTC,4.2e-07
VIBEETH,5.72e-05
RLCBTC,4.59e-05
RLCETH,0.000679
RLCBNB,0.03344
INSBTC,6.18e-06
INSETH,0.000501
PIVXBTC,7.08e-06
PIVXBNB,0.0166
IOSTBTC,2.9e-07
IOSTETH,4.31e-06
CHATBTC,1.95e-06
CHATETH,6.585e-05
STEEMBTC,6.09e-06
STEEMETH,9e-05
STEEMBNB,0.00448
NANOBTC,6.28e-05
NANOETH,0.000905
NANOBNB,0.05589
VIABTC,6.81e-06
VIAETH,0.000856
VIABNB,0.00958
BLZBTC,1.87e-06
BLZETH,4.159e-05
BLZBNB,0.0006219
AEBTC,2.92e-06
AEETH,0.000219
AEBNB,0.00777
RPXBTC,2.24e-06
RPXETH,5.449e-05
RPXBNB,0.001457
NCASHBTC,5e-08
NCASHETH,1.3e-07
NCASHBNB,6.79e-05
POABTC,4.1e-07
POAETH,4.891e-05
POABNB,0.000921
ZILBTC,6.8e-07
ZILETH,9.95e-06
ZILBNB,7.39e-05
ONTBTC,6.17e-06
ONTETH,0.0001253
ONTBNB,0.002462
STORMBTC,3.5e-07
STORMETH,1.398e-05
STORMBNB,6.55e-05
QTUMBNB,0.09597
QTUMUSDT,2.103
XEMBTC,1.92e-06
XEMETH,3.593e-05
XEMBNB,0.002441
WANBTC,6.73e-06
WANETH,9.93e-05
WANBNB,0.00181
WPRBTC,2.7e-07
WPRETH,4.02e-05
QLCBTC,2.1e-07
QLCETH,6.03e-06
SYSBTC,4.58e-06
SYSETH,0.00011047
SYSBNB,0.001635
QLCBNB,0.000922
GRSBTC,1.649e-05
GRSETH,0.00076455
ADAUSDT,0.2676
ADABNB,0.001133
CLOAKBTC,0.0001555
CLOAKETH,0.004142
GNTBTC,6.78e-06
GNTETH,0.00022071
GNTBNB,0.002439
LOOMBTC,1.56e-06
LOOMETH,3.231e-05
LOOMBNB,0.000885
XRPUSDT,0.5143
BCNBTC,2.2e-07
BCNETH,7.07e-06
BCNBNB,2e-05
REPBTC,0.0003413
REPBNB,0.4467
BTCTUSD,25936.42
TUSDBTC,0.00025971
ETHTUSD,1756.78
TUSDETH,0.00762097
TUSDBNB,0.06777
ZENBTC,0.0002316
ZENETH,0.00342
ZENBNB,0.0329
SKYBTC,8.29e-06
SKYETH,0.00222
SKYBNB,0.03022
EOSUSDT,0.682
EOSBNB,0.00289
CVCBTC,5.66e-06
CVCETH,9.93e-05
CVCBNB,0.002112
THETABTC,2.529e-05
THETAETH,0.0003731
THETABNB,0.00277
XRPBNB,0.002175
TUSDUSDT,0.9983
IOTAUSDT,0.1558
XLMUSDT,0.0828
IOTXBTC,6.7e-07
IOTXETH,9.74e-06
QKCBTC,2.8e-07
QKCETH,4.15e-06
AGIBTC,6.68e-06
AGIETH,7.363e-05
AGIBNB,0.000772
NXSBTC,2.84e-06
NXSETH,0.000773
NXSBNB,0.01087
ENJBNB,0.001368
DATABTC,8.5e-07
DATAETH,2.034e-05
ONTUSDT,0.1596
TRXBNB,0.0002937
TRXUSDT,0.06942
ETCUSDT,15.11
ETCBNB,0.0641
ICXUSDT,0.1834
SCBTC,1.7e-07
SCETH,1.54e-06
NPXSBTC,3e-08
NPXSETH,3.45e-06
VENUSDT,0.0001
KEYBTC,1.3e-07
KEYETH,2.27e-06
NASBTC,2.28e-06
NASETH,4.047e-05
NASBNB,0.02337
MFTBTC,8e-08
MFTETH,4.33e-06
MFTBNB,1.485e-05
DENTBTC,4e-08
DENTETH,3.6e-07
ARDRBTC,2.35e-06
ARDRETH,0.0001887
ARDRBNB,0.003168
NULSUSDT,0.1921
HOTBTC,2e-08
HOTETH,7.1e-07
VETBTC,6.1e-07
VETETH,8.9e-06
VETUSDT,0.0156
VETBNB,6.59e-05
DOCKBTC,5.4e-07
DOCKETH,3.283e-05
POLYBTC,1.384e-05
POLYBNB,0.001459
PHXBTC,1.8e-06
PHXETH,5.617e-05
PHXBNB,0.000456
HCBTC,2e-05
HCETH,0.005134
GOBTC,4.3e-07
GOBNB,0.0006923
PAXBTC,0.00025175
PAXBNB,0.20121
PAXUSDT,0.9996
PAXETH,0.00888047
RVNBTC,6.6e-07
DCRBTC,0.000483
DCRBNB,0.781
USDCBNB,0.21755
MITHBTC,8e-07
MITHBNB,4.41e-05
BCHABCBTC,0.02933
BCHSVBTC,0.011179
BCHABCUSDT,220.08
BCHSVUSDT,58.9
BNBPAX,495.1
BTCPAX,51529.15
ETHPAX,3904.41
XRPPAX,0.8896
EOSPAX,2.5845
XLMPAX,0.04221
RENBTC,2.25e-06
RENBNB,0.004585
BNBTUSD,236.7
XRPTUSD,0.5148
EOSTUSD,4.1159
XLMTUSD,0.06833
BNBUSDC,236.4
BTCUSDC,25897.17
ETHUSDC,1754.45
XRPUSDC,0.4409
EOSUSDC,1.153
XLMUSDC,0.0497
USDCUSDT,0.9996
ADATUSD,0.2688
TRXTUSD,0.05986
NEOTUSD,11.818
TRXXRP,0.13502
XZCXRP,20.792
PAXTUSD,0.9995
USDCTUSD,1.0
USDCPAX,1.0002
LINKUSDT,5.178
LINKTUSD,28.87
LINKPAX,3.9834
LINKUSDC,7.779
WAVESUSDT,1.357
WAVESTUSD,1.072
WAVESPAX,0.8029
WAVESUSDC,1.2036
BCHABCTUSD,220.2
BCHABCPAX,221.2
BCHABCUSDC,220.3
BCHSVTUSD,59.17
BCHSVPAX,58.18
BCHSVUSDC,57.5
LTCTUSD,78.14
LTCPAX,171.13
LTCUSDC,53.22
